#NSGA2
popsize 50
maxGen 500
numVar 30
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 500
currentGen	1
evaluateCount	50
totalTime	0.0113277
firstFrontCount	10
frontCount	6
avgEvalTime	1.10771e-05
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Obj1	Obj2	
0.877084	0.160455	0.320871	0.669505	0.870675	0.314835	0.904507	0.617124	0.506467	0.95603	0.90627	0.643845	0.930123	0.848101	0.957332	0.116495	0.90715	0.679868	0.0222103	0.969657	0.425465	0.869642	0.796783	0.926508	0.706239	0.33708	0.546594	0.870199	0.509284	0.512194	0.877084	4.38652	
0.484455	0.00987279	0.639536	0.339717	0.217668	0.365508	0.293552	0.553843	0.0406579	0.59819	0.608023	0.317305	0.679158	0.329726	0.987613	0.851194	0.312351	0.828665	0.112284	0.0201032	0.116855	0.787175	0.337011	0.182523	0.967326	0.587095	0.217687	0.937257	0.708582	0.407377	0.484455	3.56564	
0.987796	0.986997	0.287499	0.657505	0.164012	0.333046	0.192626	0.711538	0.0566947	0.834685	0.0270986	0.991305	0.646906	0.943341	0.347851	0.0600401	0.843117	0.873035	0.0524891	0.91824	0.158983	0.985825	0.116578	0.974397	0.314825	0.862542	0.424709	0.0364714	0.986442	0.531569	0.987796	3.37041	
0.575494	0.923782	0.338408	0.48391	0.342736	0.965431	0.219241	0.337969	0.961234	0.558734	0.8457	0.848057	0.674149	0.740455	0.222941	0.174596	0.520866	0.818704	0.479099	0.979147	0.902217	0.533953	0.787359	0.852438	0.386522	0.584164	0.136335	0.839296	0.271014	0.194468	0.575494	4.35511	
0.291968	0.455413	0.508759	0.516819	0.1739	0.217992	0.228619	0.215405	0.426783	0.80679	0.041016	0.145517	0.763951	0.279757	0.707551	0.716021	0.287054	0.381199	0.117123	0.188173	0.784044	0.630038	0.646277	0.322066	0.517641	0.0228066	0.267839	0.744007	0.196657	0.516803	0.291968	3.50244	
0.721935	0.176782	0.45002	0.266848	0.860011	0.909186	0.143619	0.376955	0.626528	0.357904	0.114158	0.760239	0.261846	0.724226	0.83572	0.947529	0.70222	0.449797	0.211677	0.202638	0.629879	0.0625777	0.813661	0.873887	0.544645	0.0204424	0.0553751	0.141915	0.989101	0.825143	0.721935	3.46532	
0.628391	0.771518	0.145403	0.442132	0.498763	0.557721	0.623396	0.860065	0.774188	0.553651	0.187638	0.0270499	0.952737	0.911907	0.810194	0.131441	0.73941	0.923935	0.221968	0.624433	0.918713	0.167763	0.891746	0.69744	0.928969	0.922468	0.357262	0.413887	0.952354	0.976964	0.628391	4.54792	
0.946489	0.812292	0.821919	0.00291882	0.522265	0.454466	0.124346	0.689615	0.451585	0.34878	0.777873	0.943868	0.23232	0.752516	0.909712	0.148234	0.0523498	0.312602	0.39559	0.96874	0.472364	0.0787503	0.812867	0.573768	0.841245	0.595705	0.127813	0.0369272	0.551467	0.97076	0.946489	3.28825	
0.264362	0.929104	0.163492	0.48334	0.0911551	0.0108998	0.100553	0.332431	0.788565	0.436975	0.739219	0.978439	0.490092	0.182032	0.246288	0.687778	0.974619	0.920656	0.462054	0.543327	0.298452	0.498839	0.952718	0.101178	0.174061	0.61608	0.0730793	0.869186	0.476769	0.490511	0.264362	4.18701	
0.128446	0.278475	0.501583	0.491115	0.200091	0.0282968	0.89158	0.460771	0.397655	0.955181	0.525975	0.24046	0.987203	0.643458	0.443661	0.213925	0.903354	0.30904	0.862978	0.564424	0.26088	0.120068	0.961978	0.846957	0.203348	0.0518531	0.952867	0.727822	0.582767	0.797129	0.128446	4.91913	
